row,col,expected,actual,numeric_diff
0,0,﻿Operator ID,Operator ID,
0,34,Tax Code 1,,
0,35,Tax Type 1,,
0,36,Gross Tax 1,,
0,37,Net Tax 1,,
0,38,Tax Code 2,,
0,39,Tax Type 2,,
0,40,Gross Tax 2,,
0,41,Net Tax 2,,
0,42,Tax Code 3,,
0,43,Tax Type 3,,
0,44,Gross Tax 3,,
0,45,Net Tax 3,,
0,46,Tax Code 4,,
0,47,Tax Type 4,,
0,48,Gross Tax 4,,
0,49,Net Tax 4,,
0,50,Tax Code 5,,
0,51,Tax Type 5,,
0,52,Gross Tax 5,,
0,53,Net Tax 5,,
0,54,Tax Code 6,,
0,55,Tax Type 6,,
0,56,Gross Tax 6,,
0,57,Net Tax 6,,
0,58,Tax Code 7,,
0,59,Tax Type 7,,
0,60,Gross Tax 7,,
0,61,Net Tax 7,,
0,62,Tax Code 8,,
0,63,Tax Type 8,,
0,64,Gross Tax 8,,
0,65,Net Tax 8,,
0,66,Tax Code 9,,
0,67,Tax Type 9,,
0,68,Gross Tax 9,,
0,69,Net Tax 9,,
0,70,Tax Code 10,,
0,71,Tax Type 10,,
0,72,Gross Tax 10,,
0,73,Net Tax 10,,
0,74,Deduct Code 1,,
0,75,Deduct Type 1,,
0,76,Gross Deduct 1,,
0,77,Net Deduct 1,,
0,78,Deduct Code 2,,
0,79,Deduct Type 2,,
0,80,Gross Deduct 2,,
0,81,Net Deduct 2,,
0,82,Deduct Code 3,,
0,83,Deduct Type 3,,
0,84,Gross Deduct 3,,
0,85,Net Deduct 3,,
0,86,Deduct Code 4,,
0,87,Deduct Type 4,,
0,88,Gross Deduct 4,,
0,89,Net Deduct 4,,
0,90,Deduct Code 5,,
0,91,Deduct Type 5,,
0,92,Gross Deduct 5,,
0,93,Net Deduct 5,,
0,94,Deduct Code 6,,
0,95,Deduct Type 6,,
0,96,Gross Deduct 6,,
0,97,Net Deduct 6,,
0,98,Deduct Code 7,,
0,99,Deduct Type 7,,
0,100,Gross Deduct 7,,
0,101,Net Deduct 7,,
0,102,Deduct Code 8,,
0,103,Deduct Type 8,,
0,104,Gross Deduct 8,,
0,105,Net Deduct 8,,
0,106,Deduct Code 9,,
0,107,Deduct Type 9,,
0,108,Gross Deduct 9,,
0,109,Net Deduct 9,,
0,110,Deduct Code 10,,
0,111,Deduct Type 10,,
0,112,Gross Deduct 10,,
0,113,Net Deduct 10,,
0,114,Detail Line Notation,,
1,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
1,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
1,5,1/27/2026,"January 27, 2026",
1,6,"1,031.33",1031.33,
1,7,1119847.01,,
1,8,4703305324,,
1,12,FORTNEY D 157,,
1,13,WV,,
1,14,HARRISON,,
1,16,Gas,,
1,18,Royalty Interest,,
1,19,0.0625,,
1,20,0.0625,,
1,21,11/30/2025,,
1,22,2.63,,
1,23,1,,
1,24,605.27,,
1,25,"1,593.71",,
1,26,0,,
1,27,0,,
1,28,"1,593.71",,
1,29,37.83,,
1,30,99.61,,
1,31,0,,
1,32,0,,
1,33,99.61,,
2,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
2,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
2,5,1/27/2026,"January 27, 2026",
2,6,"1,031.33",1031.33,
2,7,1119848.01,1119847.01,1.0
2,8,4703305325,4703305324,1.0
2,16,Gas,,
2,18,Royalty Interest,ROYALTY INTEREST,
2,21,11/30/2025,Nov 25,
2,22,3.61,2.63,0.98
2,23,1.37,1.0002,0.36980000000000013
2,24,128.17,605.27,-477.1
2,25,462.54,1593.71,-1131.17
2,26,0,,
2,27,0,,
2,28,462.54,,
2,29,8.01,37.83,-29.82
2,30,28.91,99.61,-70.7
2,31,0,,
2,32,0,,
2,33,28.91,,
3,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
3,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
3,5,1/27/2026,"January 27, 2026",
3,6,"1,031.33",1031.33,
3,7,1124269.01,1119848.01,4421.0
3,8,4701704008,4703305325,-1601317.0
3,12,CUMBERLEDGE 1 L,FORTNEY D 157,
3,14,DODDRIDGE,HARRISON,
3,16,Gas,,
3,18,Royalty Interest,ROYALTY INTEREST,
3,19,0.00345982,0.0625,-0.05904018
3,20,0.00345982,0.0625,-0.05904018
3,21,6/30/2025,Nov 25,
3,22,2.54,3.61,-1.0699999999999998
3,23,1.29,1.3709,-0.08089999999999997
3,24,-82.02,128.17,-210.19
3,25,-208.48,462.54,-671.02
3,26,0,,
3,27,0,,
3,28,-208.48,,
3,29,-0.28,8.01,-8.29
3,30,-0.72,28.91,-29.63
3,31,0,,
3,32,0,,
3,33,-0.72,,
4,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
4,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
4,5,1/27/2026,"January 27, 2026",
4,6,"1,031.33",1031.33,
4,16,Gas,,
4,18,Royalty Interest,ROYALTY INTEREST,
4,21,5/31/2025,Jun 25,
4,22,2.96,2.54,0.41999999999999993
4,23,1.29,1.2855,0.0044999999999999485
4,24,69.47,-82.02,151.49
4,25,205.35,-208.48,413.83
4,26,0,,
4,27,0,,
4,28,205.35,,
4,29,0.24,-0.28,0.52
4,30,0.71,-0.72,1.43
4,31,0,,
4,32,0,,
4,33,0.71,,
5,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
5,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
5,5,1/27/2026,"January 27, 2026",
5,6,"1,031.33",1031.33,
5,16,Gas,,
5,18,Royalty Interest,ROYALTY INTEREST,
5,21,6/30/2025,May 25,
5,22,2.55,2.96,-0.41000000000000014
5,23,1.29,1.2863,0.0037000000000000366
5,24,74.3,69.47,4.829999999999998
5,25,189.81,205.35,-15.539999999999992
5,26,0,,
5,27,0,,
5,28,189.81,,
5,29,0.26,0.24,0.020000000000000018
5,30,0.66,0.71,-0.04999999999999993
5,31,0,,
5,32,0,,
5,33,0.66,,
6,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
6,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
6,5,1/27/2026,"January 27, 2026",
6,6,"1,031.33",1031.33,
6,16,Gas,,
6,18,Royalty Interest,ROYALTY INTEREST,
6,21,7/31/2025,Jun 25,
6,22,2.68,2.55,0.13000000000000034
6,23,1.31,1.2921,0.017900000000000027
6,24,-67.54,74.3,-141.84
6,25,-181.12,189.81,-370.93
6,26,0,,
6,27,0,,
6,28,-181.12,,
6,29,-0.23,0.26,-0.49
6,30,-0.63,0.66,-1.29
6,31,0,,
6,32,0,,
6,33,-0.63,,
7,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
7,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
7,5,1/27/2026,"January 27, 2026",
7,6,"1,031.33",1031.33,
7,16,Gas,,
7,18,Royalty Interest,ROYALTY INTEREST,
7,21,3/31/2025,Jul 25,
7,22,4.36,2.68,1.6800000000000002
7,23,1.32,1.3115,0.008499999999999952
7,24,-70.44,-67.54,-2.8999999999999915
7,25,-306.89,-181.12,-125.76999999999998
7,26,0,,
7,27,0,,
7,28,-306.89,,
7,29,-0.24,-0.23,-0.009999999999999981
7,30,-1.06,-0.63,-0.43000000000000005
7,31,0,,
7,32,0,,
7,33,-1.06,,
8,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
8,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,
8,5,1/27/2026,"January 27, 2026",
8,6,"1,031.33",1031.33,
8,16,Gas,,
8,18,Royalty Interest,ROYALTY INTEREST,
