Operator ID,Operator Name,Owner Name,Owner Number,Check Number,Check Date,Check Amount,Operator CC,Operator API,Partner API,MA API,Partner CC,Property Description,Property State,Property County,Product Code,Product Description,Interest Code,Interest Type,Owner Percent,Distribution Percent,Prod Date,Price,BTU Factor,Gross Volume,Gross Value,Gross Taxes,Gross Deducts,Net Value,Owner Gross Volume,Owner Gross Value,Owner Gross Taxes,Owner Gross Deducts,Owner Net Value
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1119847.01,4703305324,,,,FORTNEY D 156,WV,HARRISON,,,1.0002,ROYALTY INTEREST,0.0625,37.83,Nov 25,1593.71,605.27,2.63,0.0625,,,,99.61,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1119848.01,4703305325,,,,FORTNEY D 157,WV,HARRISON,,,1.3709,ROYALTY INTEREST,0.0625,8.01,Nov 25,462.54,128.17,3.61,0.0625,,,,28.91,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.2855,ROYALTY INTEREST,0.00345982,-0.28,Jun 25,-208.48,-82.02,2.54,0.00345982,,,,-0.72,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.2863,ROYALTY INTEREST,0.00345982,0.24,May 25,205.35,69.47,2.96,0.00345982,,,,0.71,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.2921,ROYALTY INTEREST,0.00345982,0.26,Jun 25,189.81,74.3,2.55,0.00345982,,,,0.66,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3115,ROYALTY INTEREST,0.00345982,-0.23,Jul 25,-181.12,-67.54,2.68,0.00345982,,,,-0.63,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.32,ROYALTY INTEREST,0.00345982,-0.24,Mar 25,-306.89,-70.44,4.36,0.00345982,,,,-1.06,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3228,ROYALTY INTEREST,0.00345982,-0.25,May 25,-219.99,-72.37,3.04,0.00345982,,,,-0.76,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3318,ROYALTY INTEREST,0.00345982,0.22,Jul 25,173.41,63.68,2.72,0.00345982,,,,0.6,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3465,ROYALTY INTEREST,0.00345982,-0.24,Apr 25,-261.85,-68.51,3.82,0.00345982,,,,-0.91,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC 4150 BELDEN VILLAGE ST NW STE 401,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3488,ROYALTY INTEREST,0.00345982,-0.23,Feb 25,-291.95,-66.58,4.38,0.00345982,,,,-1.01,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,,,,,,,,,,,,,,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3587,ROYALTY INTEREST,0.00345982,0.23,Mar 25,298.57,66.58,4.48,0.00345982,,,,1.03,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3703,ROYALTY INTEREST,0.00345982,-0.22,Jan 25,-262.95,-63.68,4.13,0.00345982,,,,-0.91,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3728,ROYALTY INTEREST,0.00345982,0.21,Apr 25,233.1,59.82,3.9,0.00345982,,,,0.81,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3746,ROYALTY INTEREST,0.00345982,0.2,Feb 25,263.05,58.86,4.47,0.00345982,,,,0.91,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.3905,ROYALTY INTEREST,0.00345982,-0.19,Aug 25,-161.73,-54.03,2.99,0.00345982,,,,-0.56,,,,
